Kedalaman,T__0C_,pH,TDS__ppm_,CD__mS_
20,0,0,0,0
60,25,7.76,273,0.41
150,25,7.78,388,0.638
60,25,7.69,266,0.402
100,25,7.7,260,0.395
80,25,7.69,297,0.445
150,25,7.32,282,0.423
120,25,7.61,263,0.393
150,25,7.66,309,0.466
36,25,7.72,324,0.507
150,25,7.67,226,0.357
225,25,7.65,221,0.335
15,25,6.54,612,0.886
100,25,7.67,261,0.393
200,25,7.38,270,0.398
120,25,7.61,278,0.433
80,25,7.79,286,0.43
120,25,7.79,246,0.367
120,25,7.01,204,0.307
80,25,7.07,391,0.589
30,25,6.62,322,0.48
110,25,6.72,318,0.481
15,25,6.96,256,0.385
120,25,7.5,458,0.667
200,25,7.04,615,0.918
200,25,7.59,615,0.925
200,0,0,0,0
200,25,7.97,333,0.503
50,25,7.81,314,0.473
300,25,7.69,449,0.749
200,25,7.05,393,0.598
200,25,7.62,335,0.696
150,25,7.17,291,0.434
150,25,7.2,259,0.39
150,0,0,0,0
150,25,7.902,315,0.473
150,25,7.72,303,0.455
150,25,7.73,357,0.539
200,25,7.33,344,0.516
150,25,7.65,362,0.545
150,25,7.82,291,0.436
150,25,7.82,291,0.436
150,25,7.82,291,0.436
150,25,7.82,291,0.436
150,0,0,0,0
150,25,7.68,521,0.782
150,25,7.68,521,0.782
150,25,7.82,205,0.308
150,25,6.85,472,0.707
150,25,6.85,472,0.707
150,25,6.82,475,0.713
150,25,6.82,470,0.705
150,25,6.86,501,0.747
150,25,7.02,376,0.565
150,25,7.03,328,0.492
150,25,6.75,341,0.514
150,25,6.87,412,0.706
150,25,7.68,224,0.335
200,25,7.23,235,0.353
200,0,0,0,0
160,25,7.74,224,0.338
150,25,6.83,296,0.442
150,25,7.16,256,0.385
150,25,7.22,249,0.373
150,25,7.18,255,0.382
150,25,7.75,401,0.602
150,25,6.82,368,0.552
150,25,7.66,369,0.553
150,25,6.61,394,0.59
150,25,7.12,310,0.469
150,25,7.31,297,0.445
200,25,7.78,225,0.339
180,25,7.94,365,0.543
150,25,7.28,265,0.402
150,25,7.6,353,0.532
150,25,7.28,317,0.475
135,25,7.68,150,0.227
150,25,7.71,146,0.222
180,25,7.96,196,0.398
120,25,7.61,205,0.285
141,25,8.19,156,0.264
150,25,7.74,160,0.238
150,25,7.65,152,0.228
126,25,7.3,242,0.36
150,25,7.58,262,0.391
135,25,7.03,293,0.441
150,25,7.87,250,0.381
150,25,7.05,402,0.607
170,25,7.96,196,0.398
70,25,8.74,334,0.497
75,25,7.78,318,0.476
120,25,6.98,619,0.892
160,25,7.56,485,0.777
160,25,7.98,193,0.292
150,25,6.67,237,0.343
150,25,7.66,328,0.49
100,25,7.74,377,0.544
0,25,8.16,372,0.554
0,25,7.78,740,1.093
0,25,8.23,414,0.675
0,25,7.86,670,1.032
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
150,0,0,0,0
150,0,0,0,0
150,0,0,0,0
150,0,0,0,0
150,0,0,0,0
150,0,0,0,0
150,25,7.77,244,0.367
150,0,0,0,0
150,0,0,0,0
150,25,7.25,46.9,0.705
90,25,7.64,562,0.841
150,25,7.44,44.9,0.675
150,25,7.49,469,0.525
150,25,7.29,797,0.595
200,25,7.68,271,0.408
200,25,7.87,286,0.428
200,25,7.17,256,0.385
200,25,7.22,306,0.761
150,0,0,0,0
200,25,7.67,366,0.55
200,25,7.68,375,0.562
200,25,7.69,456,0.684
150,25,7.55,475,0.712
200,25,7.66,4.7,0.705
30,25,7.52,390,0.608
150,25,6.77,1045,1.507
120,25,8.36,601,0.898
150,25,7.11,4.51,0.887
190,25,7.98,527,0.879
170,25,8.09,407,0.597
0,25,7.61,321,0.451
160,25,8.92,161,0.245
72,25,7.4,1134,1.687
72,25,7.25,1292,2.25
250,25,7,1017,1.624
250,25,7,246,0.37
250,25,7.41,552,0.852
0,0,0,0,0
120,25,6.8,581,0.774
250,25,6.93,260,0.383
180,0,0,0,0
180,0,0,0,0
180,25,7.28,510,0.64
180,25,7.24,428,0.638
